"3393\t2026-09-02\t2026-02-09\twhite0dew/XiaohongshuSkills\tNONE\t支持小红书自动发布、自动评论、自动检索的 Skill。支持 OpenClaw、Codex、CC 等"
"1054\t2026-08-14\t2025-10-18\tabubakarsiddik31/claude-skills-collection\tNONE\tA curated collection of official and community-built Claude Skills – extend Anthropic's Claude with powerful, "
"552\t2026-08-23\t2026-03-18\taiworkskills/wechat-article-skills\tNONE\t微信公众号 AI 运营助手 | 选题、写稿、审稿、排版、配图、发布全流程 Skill，支持 OpenClaw / Claude Code / Cursor / Codex"
"504\t2026-09-01\t2025-10-21\tkaranb192/awesome-claude-skills\tNONE\t🎯 The definitive collection of 50+ verified Awesome Claude Skills for Claude Code, Claude.ai, and API. Boost p"
"147\t2026-09-03\t2025-12-23\tChat2AnyLLM/awesome-claude-skills\tNONE\tA curated list of awesome claude skills"
"79\t2026-09-03\t2026-03-18\tKerberosClaw/kc_ai_skills\tNONE\tAI Skills That Actually Do Things — 中文優先的 Claude Code / Codex agent skills 合集 · Reusable bilingual skills for "
"65\t2026-09-02\t2025-11-21\tMann1988/awesome-claude-skills\tNONE\t📊 Explore high-quality Claude skills focused on business analysis and content creation, enhancing your AI capa"
"47\t2026-09-01\t2026-03-16\tcgallic/kai-cmo-harness\tNONE\tOpen-source AI CMO for Claude Code: marketing agent skills for SEO, content, email, ads, launches, CRO, AEO/GE"
"43\t2026-08-24\t2026-02-23\tDeliciousBuding/xiaohongshu-skill\tNONE\tXiaohongshu & RedNote skill for AI agents — search, read notes, publish, and run approval-gated automation wit"
"31\t2026-09-01\t2026-04-16\tFicere/tianji\tNONE\t中西合璧命理测算 Agent Skills 合集 — 八字五行 / 袁天罡称骨 / 紫微斗数 / 星座 / 三才五格姓名测算 / 合盘评分 | Chinese Fortune Analysis Skills (BaZi "
"26\t2026-08-18\t2026-07-14\tnimadorostkar/Claude-Skills-collection\tNONE\tA curated library of 137 production-grade skills for Claude and other AI coding agents."
"25\t2026-09-01\t2025-02-02\tshajith003/awesome-claude-skills\tNONE\t🚀 Enhance Claude's capabilities with example skills that streamline tasks and improve performance in specializ"
"22\t2026-08-24\t2026-03-20\tkhalilbenaz/claude-skills-collection\tNONE\t349 skills open-source pour Claude Code — 34 domaines : dev, agents IA, AI/ML, cloud, database, DevOps, testin"
"22\t2026-08-13\t2026-08-08\tkiki-lgtm-dot/xiaohongshu-skill\tNONE\t学术风小红书笔记自动生成skill：检索核验、撰文、配图、排版与视觉质检"
"21\t2026-08-15\t2026-08-07\tIrixil/xiaohongshu-skill\tNONE\t把我们的想法转化成小红书的版本"
"18\t2026-09-02\t2025-12-07\tmhylle/claude-skills-collection\tNONE\tCustom skills and agents for Claude Code - codebase research, context management, and implementation planning "
"14\t2026-08-14\t2025-10-21\tfal3/claude-skills-collection\tNONE\t"
"12\t2026-08-13\t2026-07-15\tJustMichael-80/MasterVault\tNONE\tAn orientation protocol for LLM sessions — plus a curated Claude skills collection"
"8\t2026-09-01\t2026-06-01\tsanhuang520-ship-it/awesome-chinese-ai-tools\tNONE\t中文 Agent Skills 合集：194 个条目、13 个本站原创；Codex 13/13 自动触发实测，Claude Code / Cursor 待测；来源仓库定期复检，运行记录公开"
"6\t2026-08-13\t2026-05-25\tDrErwin/xhs-note-to-md\tNONE\t`xhs-note-to-md` 用于把小红书帖子转换成 Markdown 文档。  它依赖 `xiaohongshu-skills` 获取帖子内容，也可以配合 OCR 识别图片里的文字。适合把小红书知识帖、长图笔记、截"
"6\t2026-08-18\t2026-03-02\tHK-hub/AgentSkills\tNONE\t精选 Claude Code , Open Code等Agent Skills 合集，覆盖 Agent/Skill 工程化、后端架构、事件驱动、CI/CD、前端设计、文档办公自动化与可视化创作"
